 ,RITZ,Triscuits,Bold N Baked,Bear Paws Crackers,Wheat Thins,Goldfish,Keebler Townhouse,Cheez It
1wk Aug 11 2018,1045857.00,789279.00,0.00,58202.00,483715.00,999337.00,50732.00,0.00
1wk Aug 18 2018,1094317.00,793002.00,0.00,77836.00,496779.00,1105527.00,92790.00,0.00
1wk Aug 25 2018,1042881.00,767790.00,0.00,112924.00,477454.00,1470653.00,101064.00,0.00
1wk Sept 01 2018,1164285.00,813813.00,0.00,149345.00,494748.00,1772534.00,86733.00,0.00
1wk Sept 08 2018,1345067.00,844766.00,0.00,161204.00,510778.00,1774191.00,82635.00,0.00
1wk Sept 15 2018,1349950.00,847132.00,0.00,135180.00,503961.00,1608213.00,103525.00,0.00
1wk Sept 22 2018,1339595.00,850448.00,0.00,122037.00,509570.00,1540292.00,131798.00,0.00
1wk Sept 29 2018,1460964.00,854345.00,0.00,106111.00,515641.00,1403727.00,136048.00,0.00
1wk Oct 06 2018,1727827.00,1092198.00,0.00,102271.00,644008.00,1428494.00,155032.00,0.00
1wk Oct 13 2018,1266163.00,834477.00,0.00,91274.00,477775.00,1287176.00,95555.00,0.00
1wk Oct 20 2018,1356716.00,824585.00,0.00,87813.00,501007.00,1478872.00,89128.00,0.00
1wk Oct 27 2018,1365413.00,777783.00,0.00,133376.00,480747.00,1511682.00,84857.00,0.00
1wk Nov 03 2018,1286033.00,784412.00,0.00,142257.00,466423.00,1663220.00,91424.00,0.00
1wk Nov 10 2018,1382372.00,856683.00,0.00,100646.00,501985.00,1490249.00,130882.00,0.00
1wk Nov 17 2018,1512808.00,953437.00,0.00,88345.00,519349.00,1378885.00,148910.00,0.00
1wk Nov 24 2018,1630209.00,897214.00,0.00,85530.00,510787.00,1390998.00,135710.00,0.00
1wk Dec 01 2018,1658822.00,925846.00,0.00,101809.00,518865.00,1292264.00,176362.00,0.00
1wk Dec 08 2018,1797636.00,1093697.00,0.00,116408.00,591005.00,1328440.00,157030.00,0.00
1wk Dec 15 2018,1801742.00,1035230.00,0.00,91235.00,569227.00,1249208.00,159161.00,0.00
1wk Dec 22 2018,2094799.00,1341378.00,0.00,79512.00,751092.00,1137155.00,229057.00,0.00
1wk Dec 29 2018,1462602.00,1151871.00,0.00,42606.00,615357.00,655844.00,154817.00,0.00
1wk Jan 05 2019,1200055.00,865569.00,0.00,76756.00,462271.00,994875.00,126372.00,0.00
1wk Jan 12 2019,1273051.00,747797.00,0.00,147653.00,426622.00,1693881.00,105853.00,0.00
1wk Jan 19 2019,1314288.00,749895.00,0.00,110540.00,425196.00,1651798.00,112653.00,0.00
1wk Jan 26 2019,1399721.00,869468.00,0.00,106765.00,490721.00,1451876.00,148675.00,0.00
1wk Feb 02 2019,1381665.00,859470.00,0.00,96666.00,486886.00,1366901.00,149675.00,0.00
1wk Feb 09 2019,1398399.00,813805.00,0.00,96037.00,455265.00,1344864.00,122033.00,0.00
1wk Feb 16 2019,1204947.00,727403.00,0.00,94746.00,422424.00,1319186.00,137768.00,0.00
1wk Feb 23 2019,1315884.00,780948.00,0.00,93417.00,422431.00,1421258.00,167116.00,0.00
1wk Mar 02 2019,1321598.00,825804.00,0.00,86518.00,473768.00,1496508.00,126495.00,0.00
1wk Mar 09 2019,1411106.00,816645.00,0.00,93625.00,460803.00,1454145.00,100489.00,0.00
1wk Mar 16 2019,1304482.00,831536.00,0.00,79088.00,463285.00,1644460.00,102803.00,0.00
